WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11
Bussa,0.5350228276751939,0.2907038464038811,0.5973685147942377,0.3317346538481954,0.638399322238552,0.39408034096723915,0.3858204426424235,0.5902635549026612,0.42738423405511927,0.4547381056846622,0.46455158432121657
Central,0.24236025513370965,0.005213321585093193,0.2753768392143198,0.2442706627705211,0.5144341803997478,0.27728724685113126,0.16394807982977463,0.3440570915825924,0.18595913588351476,0.34533069667380006,0.25982375099242044
Chachanga,0.3171005975163431,0.16594513714492648,0.4376500356740624,0.2451639282276662,0.5168688267568021,0.36571336638538543,0.2427365542963119,0.4238731533157359,0.3231028464014581,0.37591537378995127,0.3414069819508643
Chenian,0.3532128134291621,0.10181589008581397,0.3801169902189767,0.2628308034350275,0.5411319035681903,0.2897349802248421,0.23928650231666784,0.4248205690721097,0.2572226201765443,0.36456589574268666,0.3214738968270021
Chimbi,0.4527068943846103,0.23713894109545744,0.3788547977638302,0.6381597354458958,0.7798755921142686,0.5643076388251157,0.44266852364198783,0.537145761420903,0.39343379256146777,0.6607809887950933,0.508507266604863
Cikin Gari,0.41447439394678465,0.48908506858221934,0.4816607151515927,0.5457382043160044,0.5383138508853776,0.6129245255208124,0.48309922228166946,0.4781496533279183,0.5278901030848747,0.5656588602407315,0.5136994597337985
Dabban,0.4014742834209064,0.34241680198918134,0.46848687479626827,0.6783687717728341,0.804438844579921,0.7453813631481959,0.474086619060974,0.5581333342656986,0.5187616799778819,0.7427296598336502,0.5734278232845512
Dandaudu,0.396663715586519,0.22793982033616428,0.39098881010012076,0.5296478831219925,0.692696872885949,0.5239729776355944,0.3847504730148919,0.4934497995241962,0.3809672026906264,0.5821059112145119,0.46031834661105664
Dangunu,0.5217401447157736,0.3920580180550947,0.525529521975,0.5983725848502883,0.7318440887701936,0.6021619621095147,0.5040569158737188,0.5930379184869891,0.5065831673798699,0.6441262119099989,0.5619510534126442
Danragi,0.4689516242515421,0.7022591493516255,0.6695548913335998,0.25985329302697907,0.22714903500895334,0.4604565601090368,0.4770213555433822,0.45521851686469833,0.6107568669314206,0.31581962938165636,0.4647040921802894
Dassun,0.38623676051436645,0.41947107001845013,0.4544763620691016,0.7184380176243544,0.753443309675006,0.7866776191790896,0.5080486160523904,0.5313854774194913,0.553541683755547,0.7528529821594834,0.586457189846728
Daza,0.47784698043695784,0.28244559734676733,0.37782087978943124,0.6677827850739372,0.7631580675166011,0.5677566844264106,0.4760251209525541,0.5396086425809967,0.40934105385420305,0.666232512338983,0.5228018324316842
Diko,0.5432704996557705,0.05839012679493277,0.3376131955587363,0.5092259623260299,0.7884490310898334,0.3035686582289958,0.3702955295922444,0.5564442421014467,0.23319066019422163,0.5337478838816198,0.42341957894238313
Dogon Kurumi,0.621197900704036,0.16183517993034569,0.5114487157220534,0.49610801850096997,0.8457215542926777,0.3863588335189874,0.4263803663784506,0.6594560569062557,0.35321424305712884,0.5760628021042117,0.5037783671115117
Doko,0.43429961791508404,0.2638845317636719,0.49613869564991886,0.36239854941762534,0.5946527133038724,0.42423762715246016,0.35352756636546045,0.5083636756229585,0.39475361818868365,0.4604296299579859,0.4292686225337721
Dokoza,0.3265044357770039,0.06316740091331723,0.4236079443098527,0.27242413956617884,0.6328646829627143,0.36952764809902766,0.22069865875216665,0.4609923543498569,0.2854343311073992,0.4249388235426403,0.3480160419380158
Dugge,0.32261053514335136,0.6108734964891802,0.5841544677720313,0.35248810669697617,0.32576907797982724,0.6140320393256561,0.42865737944316923,0.41084469363173665,0.6030200011956225,0.4307630746674865,0.4683212872345037
Dukku,0.28102283580033477,0.7077964218453937,0.5872960424297305,0.4274130426838993,0.30691266326823613,0.7336862493132951,0.47207743344320924,0.3917438471661005,0.6762595711961398,0.48933731842181016,0.5073545425568149
Duma/Zabo,0.38328528580385324,0.3926497882030522,0.4730677811370262,0.5851103402426231,0.6655283331765971,0.674892835575796,0.4536818047498428,0.5072938000391588,0.5135368016386248,0.6418438363316721,0.5290890606898246
Dzwafu,0.35559555320717084,0.41186606763255934,0.5107820819292015,0.3510600616562125,0.4499760759528546,0.506246590378243,0.3728405608319809,0.43878457036307567,0.4762982466466679,0.43576090932910344,0.430921071792707
